232,MATH,225,MATH,223,Regular
233,MATH,225,MATH,276,Regular
234,MUS,101,MUS,100,Regular
235,MUS,120,MUS,119,"Previous Name"
236,MUS,121,MUS,119,Regular
237,MUS,133,MUS,113,"Previous Name"
238,MUS,134,MUS,114,Regular
239,MUS,155,MUS,150,Regular
240,MUS,156,MUS,150,Regular
241,MUS,156,MUS,250,Regular
242,MUS,175,MUS,285,Regular
243,PHIL,110,PHIL,120,Regular
244,PHIL,110,PHIL,133,Regular
245,PHIL,120,PHIL,110,Regular
246,PHIL,133,PHIL,110,Regular
247,PHIL,140,PHIL,240,Regular
248,PHIL,140,PHIL,241,Regular
249,PHIL,140,PHIL,243,Regular
250,PHIL,140,CMPT,260,Regular
251,PHIL,243,PHIL,242,Regular
252,PHYS,115,PHYS,111,Regular
253,PHYS,115,PHYS,121,Regular
254,PHYS,115,PHYS,155,Regular
255,PHYS,117,PHYS,111,Regular
256,PHYS,117,PHYS,121,Regular
257,PHYS,117,PHYS,125,Regular
258,PLAN,445,GEOG,445,Regular
259,PLAN,445,GEOG,849,Regular
260,POLS,245,POLS,246,Regular
261,POLS,461,POLS,867,Regular
262,PSY,120,PSY,110,Regular
263,PSY,121,PSY,110,Regular
264,RLST,111,RLST,110,Regular
265,RLST,112,RLST,110,Regular
266,RLST,113,RLST,110,Regular
267,RLST,362,RLST,398,Other
268,SNSK,114,SNSK,101,Regular
269,SNSK,117,SNSK,101,Regular
270,SOC,111,SOC,110,Regular
271,SOC,112,SOC,110,Regular
272,SPAN,114,HSCH,999,Fluency
273,SPAN,117,HSCH,999,Fluency
274,STAT,242,STAT,244,Regular
275,STAT,242,STAT,245,Regular
276,STAT,242,STAT,246,Regular
277,STAT,245,STAT,242,Regular
278,STAT,245,STAT,244,Regular
279,STAT,245,STAT,246,Regular
280,STAT,344,ECON,404,Regular
281,UKR,114,HSCH,999,Fluency
282,UKR,117,HSCH,999,Fluency
283,WGST,112,WGST,110,Regular
