187,INDG,230,NS,107,1,,
188,INDG,230,INDG,107,1,,
189,INDG,230,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
190,INDG,241,NS,107,1,,
191,INDG,241,INDG,107,1,,
192,INDG,241,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
193,INDG,252,NS,107,1,,
194,INDG,252,INDG,107,1,,
195,INDG,252,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
196,INDG,255,NS,107,1,,
197,INDG,255,INDG,107,1,,
198,INDG,255,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
199,INDG,256,NS,107,1,,
200,INDG,256,INDG,107,1,,
201,INDG,256,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
202,INDG,261,NS,107,1,,
203,INDG,261,INDG,107,1,,
204,INDG,261,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
205,INDG,262,NS,107,1,,
206,INDG,262,INDG,107,1,,
207,INDG,262,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
208,INDG,264,NS,107,1,,
209,INDG,264,INDG,107,1,,
210,INDG,264,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
211,INDG,265,NS,107,1,,
212,INDG,265,INDG,107,1,,
213,INDG,265,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
214,INDG,270,NS,107,1,,
215,INDG,270,INDG,107,1,,
216,INDG,270,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
217,INDG,273,NS,107,1,,
218,INDG,273,INDG,107,1,,
